Time(s),Nose_X,Nose_Y,Nose_value,Neck_X,Neck_Y,Neck_value,RShoulder_X,RShoulder_Y,RShoulder_value,RElbow_X,RElbow_Y,RElbow_value,RWrist_X,RWrist_Y,RWrist_value,LShoulder_X,LShoulder_Y,LShoulder_value,LElbow_X,LElbow_Y,LElbow_value,LWrist_X,LWrist_Y,LWris_value,MidHip_X,MidHip_Y,MidHip_value,RHip_X,RHip_Y,RHip_value,RKnee_X,RKnee_Y,RKnee_value,RAnkle_X,RAnkle_Y,RAnkle_value,LHip_X,LHip_Y,LHip_value,LKnee_X,LKnee_Y,LKnee_value,LAnkle_X,LKnee_Y.1,LKnee_value.1,REye_X,REye_Y,REye_value,LEye_X,LEye_Y,LEye_value,REar_X,REar_Y,REar_value,LEar_X,LEar_Y,LEar_value,LBigToe_X,LBigToe_Y,LBigToe_value,LSmallToe_X,LSmallToe_Y,LSmallToe_value,LHeel_X,LHeel_Y,LHeel_value,RBigToe_X,RBigToe_Y,RBigToe_value,RSmallToe_X,RSmallToe_Y,RSmallToe_value,RHeel_X,RHeel_Y,RHeel_value
1.039787106,637.2630005,259.0220032,0.937697828,635.2241211,274.7366333,0.910088003,588.2942505,270.7904053,0.83067131,572.4942017,335.4972839,0.6684466,570.5853882,370.7951965,0.439961821,680.2991943,278.7375793,0.780833602,731.234375,343.3473816,0.649688482,770.447937,411.8421326,0.713621974,631.3027954,400.2196655,0.634081841,599.9577026,398.2014465,0.625366092,554.9624634,476.5632935,0.246913075,539.2581787,570.6027222,0.104468256,662.7025146,404.1077576,0.610041678,680.3844604,599.9890137,0.69151336,629.3764648,599.9890137,0.69151336,635.2025757,243.4706268,0.962109745,650.9855957,255.1544495,0.911513984,619.6276855,235.5563049,0.852455914,664.7296753,257.0575867,0.580286205,625.4819336,621.5952759,0.349579841,639.1887817,621.5823364,0.399645776,617.5856323,603.9257813,0.504244685,539.1981201,586.3231812,0.119011253,523.5721436,578.4555054,0.133033931,0,0,0
2.039582401,550.9760742,155.2563324,0.82223624,541.1928101,194.5408936,0.921720564,500.0935364,192.5188141,0.818121672,472.6183472,255.2047119,0.769741952,490.2198792,312.0013428,0.561335087,584.3165283,196.472168,0.826923311,592.1619873,264.9710693,0.366021246,558.8889771,282.6107483,0.117408991,539.2217407,321.8029785,0.68165338,509.8881226,321.7549744,0.656561077,519.6179199,427.5618591,0.631207645,521.6463013,523.6309204,0.625816524,566.657959,321.8409729,0.626684546,572.6210327,513.8103638,0.397795737,547.0991211,513.8103638,0.397795737,539.3427734,147.4264221,0.928514123,556.8751221,147.4330902,0.944900393,525.5360718,147.4826813,0.943512678,570.5139771,147.4961395,0.718389153,537.3145752,541.1778564,0.173363045,551.0203857,541.1952515,0.178990856,537.3153076,525.5174561,0.240820467,523.6505737,541.2012939,0.525383472,509.9188538,539.2805786,0.543718815,523.5549927,529.4736938,0.426382959
3.039377696,537.333252,180.8162079,0.833541811,480.5452576,196.4311676,0.613383651,476.4960022,196.4876099,0.804562867,462.8303528,284.5661621,0.362538844,507.8724365,302.1962585,0.276817203,492.2539673,196.4053497,0.506455064,0,0,0,0,0,0,476.5099487,353.1767578,0.516312063,462.9188538,355.1245422,0.509888589,478.4611206,458.943512,0.696165919,449.1083984,541.303833,0.654603362,488.2911682,353.1483459,0.440737695,496.1784973,539.3187256,0.687048674,464.8352356,539.3187256,0.687048674,537.2537231,170.9738159,0.780792773,0,0,0,507.9388428,161.1781006,0.886000574,0,0,0,494.2268372,558.9048462,0.654548228,494.16745,554.9494019,0.653538704,460.8696594,543.2033691,0.244185716,482.422821,566.6619873,0.516694605,472.6400146,568.6620483,0.41863814,439.3424377,549.0761108,0.425828516
4.03917299,698.0287476,180.7723541,0.891768456,643.1206665,216.0213318,0.62568748,631.3557129,216.0362091,0.696294248,588.1702881,274.743103,0.509347856,605.8672485,331.606842,0.215085462,660.7376709,216.029892,0.509921789,0,0,0,0,0,0,650.9355469,368.8079224,0.465459913,645.0316772,370.7677612,0.421729356,688.1276855,476.5276184,0.345800579,664.6603394,598.0223389,0.464091241,664.6873779,366.8288574,0.353129417,694.0204468,596.0905762,0.312642992,664.6964722,596.0905762,0.312642992,695.8811646,172.9321747,0.865711451,0,0,0,664.6149902,178.7171783,0.903662324,0,0,0,711.6179199,627.4367676,0.307261437,709.7175903,619.5883789,0.265940309,648.8842163,605.9075928,0.223286286,703.8203735,623.5410767,0.418862313,695.9837646,627.402771,0.395396739,650.9586792,605.8867188,0.44498226
5.038968285,707.7148438,184.7039185,0.814865708,650.9697266,231.6651001,0.611223638,641.1680908,233.6221466,0.743052602,603.9419556,306.1893311,0.744947195,603.8471069,378.6192932,0.674687207,666.5619507,229.784317,0.518637896,0,0,0,0,0,0,643.1138306,374.6994629,0.277437836,633.3282471,376.6434937,0.335922182,637.2001953,484.3901367,0.101661697,635.2215576,599.9941406,0.079811715,660.7286377,372.7225342,0.221866861,654.8630981,0,0,0,0,0,695.9920654,178.7261047,0.967604697,707.6921997,178.6701508,0.199664012,664.6307983,184.6268463,0.869696379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.2801514,601.9697876,0.07667502
6.03876358,678.3703613,172.8977966,0.824177384,635.2501831,227.7818756,0.801964164,619.6143799,225.8067932,0.826379895,602.0076904,302.1783142,0.762231588,615.6768799,368.8607788,0.623505235,649.0374756,229.7573853,0.693050563,650.890625,323.7286072,0.591017187,701.909668,368.8232117,0.708110869,643.0897217,382.5569763,0.555159032,627.4265137,384.4737244,0.529046297,604.0100708,488.3218994,0.55952847,572.5367432,580.3869019,0.513692379,660.6929321,382.504364,0.534901857,682.267334,588.2782593,0.764951229,633.2399292,588.2782593,0.764951229,666.5638428,165.0234375,0.951039791,676.3536377,165.0258026,0.060262598,641.1194458,176.8351746,0.801093996,0,0,0,668.6013794,617.6896362,0.644528329,668.6168213,609.8143311,0.596483529,617.6322632,601.8740845,0.587263465,594.1158447,617.552124,0.472605258,572.5998535,607.8187256,0.402966529,558.9105225,586.2807617,0.353749782
7.038558874,635.2861938,174.8918304,0.902529597,607.8756104,229.7195587,0.833457947,572.5442505,233.6368103,0.783702016,570.5582886,311.9765015,0.80265367,641.1130981,306.0774536,0.742232203,647.0488892,227.7902222,0.844956636,654.8250122,292.4512634,0.296295792,654.8533325,302.2035522,0.110743649,617.6083984,378.6034241,0.71998024,590.2069092,380.5541687,0.650082648,590.1925659,494.1645203,0.694748223,584.3302612,601.9731445,0.54145956,639.2167969,374.6852417,0.654717267,664.5936279,588.2318115,0.81305176,633.3064575,588.2318115,0.81305176,623.4737549,165.0487976,0.922609985,639.2251587,164.991394,0.887709081,598.0263062,178.6800079,0.860421121,0,0,0,664.6047974,617.5708618,0.537371397,666.6019287,605.9124146,0.608263075,619.6057739,599.9560547,0.577438831,601.8978271,621.5358276,0.298485994,580.3982544,623.493042,0.275543869,586.2719727,613.6968384,0.308784068
8.038354169,682.2461548,200.3345032,0.912203431,637.1975098,227.8063507,0.794526637,605.9169922,237.5615082,0.745770097,592.1644897,313.9740295,0.760200024,664.6750488,319.7569275,0.82610172,666.5858154,225.7602234,0.726193845,666.5547485,288.5362854,0.096383736,678.3168945,306.0770569,0.085207015,648.9104614,368.7580872,0.723704994,623.5222168,368.8754883,0.666473806,627.4483643,474.5674744,0.75987345,625.4890747,570.5524292,0.571616888,666.6885986,366.8040466,0.678819776,692.0976563,578.4688721,0.79941833,695.9431152,578.4688721,0.79941833,676.3465576,192.4532471,0.865995407,688.1773682,194.4206848,0.850844145,647.0106812,184.6918182,0.828338385,0,0,0,731.2988281,603.8967285,0.721162438,735.1473389,598.0170898,0.725625455,682.3515015,590.1825562,0.729129672,633.305481,592.1766968,0.270507067,617.6782837,590.2287598,0.304489225,629.3775635,574.5410767,0.328880578
9.038149464,684.2173462,243.4987946,0.905900419,635.2619629,264.9718628,0.82177794,605.8890381,270.8549805,0.766632318,594.1327515,349.1980286,0.608788013,635.2977295,398.2089539,0.65676403,664.6088867,261.102356,0.743841529,652.8600464,329.643158,0.526049376,664.6056519,382.5639648,0.434340358,617.6514893,394.3049316,0.569530547,590.2474976,398.1651306,0.557068408,617.5684814,478.5987549,0.840836942,605.8726807,578.4578857,0.438646615,645.0500488,394.2913818,0.528291404,696.0299683,576.4841309,0.743130744,725.3081055,576.4841309,0.743130744,680.2790527,235.5593414,0.900984764,690.104126,235.6110535,0.486885697,649.0408325,227.7953644,0.896522105,0,0,0,741.0037231,601.9706421,0.698323846,745.026062,594.1481323,0.727806926,717.5135498,586.2880859,0.653935552,631.2926636,599.9937134,0.253906667,615.6522827,601.9222412,0.253239721,603.8811646,590.2036743,0.239279538
10.03794476,821.3143921,170.9654694,0.872367799,774.3234863,214.0222168,0.828696191,752.8219604,221.832428,0.762804627,750.8383179,294.3773499,0.725085318,772.317749,362.9010315,0.774579167,791.9599609,210.1689911,0.784768224,799.8485718,278.7165527,0.143500566,811.6051636,304.177063,0.094395526,790.0018311,343.3384399,0.5943712,774.3696289,349.19104,0.58859092,784.1303711,447.2584229,0.572110653,760.6452026,543.1990967,0.256081313,805.668396,337.5179749,0.543932498,817.4267578,525.59021,0.091621257,811.5735474,525.59021,0.091621257,815.5158691,163.0493469,0.867714167,0,0,0,790.09552,161.1515961,0.919920325,0,0,0,0,0,0,0,0,0,0,0,0,760.6572876,556.8829956,0.05399562,756.6828003,556.8991699,0.077519961,754.7608032,552.9695435,0.153324395
