Time(s),Nose_X,Nose_Y,Nose_value,Neck_X,Neck_Y,Neck_value,RShoulder_X,RShoulder_Y,RShoulder_value,RElbow_X,RElbow_Y,RElbow_value,RWrist_X,RWrist_Y,RWrist_value,LShoulder_X,LShoulder_Y,LShoulder_value,LElbow_X,LElbow_Y,LElbow_value,LWrist_X,LWrist_Y,LWris_value,MidHip_X,MidHip_Y,MidHip_value,RHip_X,RHip_Y,RHip_value,RKnee_X,RKnee_Y,RKnee_value,RAnkle_X,RAnkle_Y,RAnkle_value,LHip_X,LHip_Y,LHip_value,LKnee_X,LKnee_Y,LKnee_value,LAnkle_X,LKnee_Y.1,LKnee_value.1,REye_X,REye_Y,REye_value,LEye_X,LEye_Y,LEye_value,REar_X,REar_Y,REar_value,LEar_X,LEar_Y,LEar_value,LBigToe_X,LBigToe_Y,LBigToe_value,LSmallToe_X,LSmallToe_Y,LSmallToe_value,LHeel_X,LHeel_Y,LHeel_value,RBigToe_X,RBigToe_Y,RBigToe_value,RSmallToe_X,RSmallToe_Y,RSmallToe_value,RHeel_X,RHeel_Y,RHeel_value
1.04,666.7121582,196.3390503,0.938198805,666.6462402,257.1161194,0.902002037,615.6291504,257.2210693,0.801116824,566.6732788,313.9269409,0.734499097,504.0151062,337.4040833,0.613139868,721.4758301,257.0578613,0.810802102,739.0761719,335.5278015,0.792805195,703.8400879,374.6845093,0.278651506,682.3046875,413.9082336,0.723473787,650.9528198,415.8804016,0.69988054,680.3129272,533.3532715,0.857229114,666.6281128,662.6758423,0.590143919,713.6820679,413.8110962,0.698655725,705.8076172,658.7602539,0.559865296,696.0556641,658.7602539,0.559865296,658.7544556,184.7063751,0.848050654,680.2592773,182.7163544,0.920120478,641.1419067,194.4246979,0.7712816,694.0593262,190.4853668,0.746518254,692.0514526,692.0270996,0.372170091,705.798645,686.2164917,0.390209079,690.1296997,674.4545898,0.322266608,668.59021,690.130127,0.480009615,658.7390747,686.2280273,0.445666611,668.5957642,670.5221558,0.38413924
3.04,680.2316895,196.4846954,0.920977354,680.3592529,259.2062683,0.905754864,625.430542,261.0682983,0.772659719,558.9172974,311.9964905,0.718434334,472.6378479,312.0254517,0.555411518,733.1982422,259.1513367,0.831840575,748.8937378,339.4199219,0.767229736,715.604248,378.6047668,0.210674018,696.0753174,417.8054504,0.722781181,666.5412598,419.781189,0.689195454,695.9006958,537.2327881,0.861965656,682.3170166,662.663147,0.581084371,727.4096069,415.875885,0.70436424,717.5643311,658.7834473,0.552504778,713.5672607,658.7834473,0.552504778,666.5808105,188.6013947,0.898688972,686.2388916,184.7087555,0.831285357,651.0238037,194.5335541,0.830677867,699.9927368,194.3474884,0.764657021,709.7264404,692.0653076,0.329845995,725.350647,686.2127075,0.350131065,707.7426147,678.3152466,0.328494728,680.3100586,692.0579224,0.420611352,668.5379028,684.2700195,0.426269352,684.2965698,670.5322876,0.374576628
7.04,601.9671021,243.3608093,0.903711379,646.9990845,306.1611938,0.791272342,588.2960205,319.8996582,0.731446028,539.1883545,386.45578,0.798043191,525.6346436,319.8128662,0.5478549,699.8907471,292.456604,0.660079479,760.6820679,351.2403564,0.708071589,758.7508545,296.309021,0.572146475,617.6680908,490.2598572,0.704852879,580.4317627,486.3586731,0.629560411,592.2006836,605.9332886,0.789354265,576.5202026,715.6243286,0.399829984,654.874939,492.2277222,0.64543575,758.7491455,715.598877,0.57052356,740.9958496,715.598877,0.57052356,586.2314453,243.4069366,0.876293302,602.0324097,225.8372498,0.970180571,582.3479614,263.0380859,0.32715708,627.3989868,219.8904114,0.795648754,735.1820068,715.6619873,0.106690452,750.8549805,715.6591797,0.127720803,731.2923584,715.6258545,0.333398551,576.5070801,715.6430664,0.104225121,572.5865479,715.6609497,0.091862239,576.4554443,715.6438599,0.197193757
8.04,605.9136353,243.4055939,0.906040967,648.8765869,292.4353027,0.831980288,586.2948608,304.2259521,0.745316029,529.4951782,376.6167297,0.737888336,535.3294067,310.0275574,0.709661305,711.6356201,284.5740662,0.737700522,715.590332,364.905304,0.644542336,668.5510254,409.9085693,0.559424639,633.3424683,472.6672974,0.616757751,596.0457764,466.7489929,0.576098204,617.6625366,603.8788452,0.8133412,596.0424194,715.6226196,0.334685296,670.5059814,478.4967346,0.569474876,770.453064,715.6235962,0.362511814,774.4088135,715.6235962,0.362511814,596.0720825,239.4575043,0.848624825,615.6964722,225.8816986,0.94216007,586.2659912,247.3237762,0.111731291,639.1699219,223.7605438,0.792301893,0,0,0,0,0,0,774.3812256,715.6449585,0.193955049,598.0553589,715.6335449,0.104603119,596.0823975,715.6548462,0.085550755,594.1318359,715.6430054,0.151400313
9.04,619.5747681,227.7692566,0.953360021,662.6072998,292.4832153,0.826977849,604.00177,306.0808411,0.815385282,586.296875,396.2340088,0.518872201,588.2794189,470.6993713,0.263701826,713.6253662,286.4665222,0.798253,737.1498413,364.881012,0.701332211,670.5570068,384.4585571,0.685113609,635.2277222,486.3838806,0.592018843,601.895813,482.4637756,0.530158758,617.5390015,597.9935303,0.782936096,588.31073,715.6171265,0.390993685,668.607605,492.1990967,0.589707375,760.5818481,715.6055908,0.383624405,768.4527588,715.6055908,0.383624405,609.8295288,221.8452759,0.803470731,631.3409424,212.0577087,0.91795063,0,0,0,662.6818848,212.0936279,0.831123829,768.4835205,715.6549683,0.07152535,782.2125244,715.6496582,0.103313223,764.572998,715.6339111,0.206641346,592.1513672,715.62854,0.118583716,592.1659546,715.6445313,0.113224059,588.2631226,715.6435547,0.188320041
10.04,621.6035767,225.7277222,0.878284097,633.2838745,274.7477112,0.885397971,572.6051636,274.7745972,0.766523123,494.1953735,308.1065674,0.821105361,537.3040161,311.9892883,0.693546593,695.9161377,272.8682861,0.791507006,682.3508911,362.9379272,0.680382013,619.6531372,413.8871155,0.615647078,603.9816895,455.0393677,0.603515029,570.5390015,449.1408386,0.590026438,598.0196533,586.2868042,0.759626746,572.6463623,715.6116333,0.395420402,645.0497437,460.9177246,0.524258018,742.9439087,688.1469116,0.405541778,745.0505981,688.1469116,0.405541778,609.8223267,210.2182465,0.883880258,635.2993774,210.0851288,0.947017312,596.0976563,214.0626526,0.501629949,656.8319092,212.0119019,0.782945991,746.9603271,715.5957031,0.100837998,0,0,0,741.0720825,696.0025024,0.212552607,574.5308838,715.6340942,0.104910083,574.5396729,715.6489258,0.105633862,574.5391235,715.6420898,0.192802906
53.04,668.5289917,178.8271332,0.942676187,641.1576538,233.6692505,0.598217547,660.7410278,241.432251,0.609344363,703.798645,335.4614868,0.664166033,745.0515747,415.7708435,0.715761662,617.6389771,225.8194275,0.366422594,0,0,0,0,0,0,611.7401123,404.0646973,0.53020972,625.4801025,398.1844177,0.526818991,697.895813,539.2940674,0.822605908,666.5897217,693.9778442,0.703548312,592.1624146,413.8510437,0.422563195,705.7861938,680.2749023,0.616231203,633.364502,680.2749023,0.616231203,652.890564,165.0705109,0.931192398,680.3178711,165.1437073,0.944745719,627.3982544,172.9313049,0.759456456,692.100769,176.8038177,0.117362976,637.2178345,701.9248047,0.097610258,0,0,0,619.6314087,692.0679321,0.543689013,695.9365234,699.9593506,0.188548699,680.3222656,715.5985718,0.241750225,656.8359375,698.0404663,0.469748318
58.04,596.0359497,233.6117249,0.827009678,650.9430542,272.86026,0.551744163,635.2879028,284.5475464,0.345705479,621.5422974,394.2889404,0.075731948,574.5497437,404.1291199,0.146412373,654.8637085,261.1257019,0.623983145,682.3174438,388.4118652,0.165011734,0,0,0,674.4134521,478.5136414,0.548844635,662.6734619,476.5443115,0.447341383,607.840271,603.9747314,0.677522004,670.5534668,715.6480713,0.180876657,682.3378296,484.3936768,0.60102123,588.156311,715.652771,0.121995494,656.8046875,715.652771,0.121995494,584.270874,227.8420258,0.837320983,599.9924927,212.0988617,0.940656781,0,0,0,633.3150635,200.3655243,0.879136324,0,0,0,0,0,0,666.6500854,715.6591797,0.081183217,0,0,0,0,0,0,680.3448486,715.6461792,0.097427584
67.04,666.661499,143.5370178,0.879789948,639.2087402,208.1176758,0.786825299,601.8884888,212.0862732,0.811508179,629.3757324,300.2024841,0.720376968,633.2327271,215.9933624,0.531373441,682.2104492,196.4315948,0.731789768,713.6450806,272.8363647,0.219548896,721.4314575,245.3767395,0.146419004,668.6195068,362.9119873,0.567131817,648.9694214,366.8478699,0.557153642,711.6278076,517.6740112,0.808727205,662.6514282,662.6671753,0.689949453,695.9326782,359.0109863,0.510910988,729.3190308,664.5952148,0.578698993,690.1378174,664.5952148,0.578698993,652.9550781,129.819809,0.893547177,672.4591064,131.8034821,0.828921914,619.6965332,133.8210144,0.875229418,0,0,0,697.9990845,697.9958496,0.493205965,709.7174072,695.9200439,0.573558629,682.2793579,670.5084229,0.205341473,690.1334839,696.0499878,0.367879093,670.5143433,697.9473877,0.377492934,648.9077759,668.6236572,0.586139619
91.04,615.5922852,353.1817932,0.89643544,645.0865479,400.2058105,0.843517125,605.9118652,407.9936523,0.669032693,584.3035278,480.5228577,0.76479876,599.9834595,404.0768738,0.666935086,680.3696899,396.2680054,0.834148824,635.2936401,476.5440979,0.803296089,619.6866455,398.2184448,0.701309681,674.4560547,562.758667,0.61816138,650.9122314,552.9536743,0.597492456,570.5128784,513.7556763,0.805834711,621.5202637,603.9593506,0.669248879,697.9457397,572.5854492,0.632177234,590.177063,631.2683105,0.669543445,733.239502,631.2683105,0.669543445,603.8140259,341.4334106,0.920511246,627.446167,341.4201965,0.846593618,588.3449707,353.1447144,0.208445311,648.9804688,351.1167297,0.734035134,770.4276733,664.6268311,0.662220001,776.2990723,656.7835693,0.622434735,744.9671631,615.6124268,0.441932201,596.0592651,617.5664063,0.081424117,590.1919556,617.5664673,0.074750215,621.623291,603.9657593,0.243201703
